Computer_Description,Selling_Price
"Gaming HP 600 G1 SFF Desktop, Intel core i7-4th gen | 16GB RAM, 128GB SSD, 1TB HDD |New 24"" LED Monitor| RGB Keyboard Mouse| 4 in 1 USB Hub | NVIDIA Geforce GT 1030 4GB Graphics, WiFi, Windows 10 Pro",$658.29 –
"HP Gaming Computer, Intel Quad-Core i7, GeForce GT 1030, 240GB SSD + 1TB HDD, 16GB DDR3 RAM, DVD, WiFi, Bluetooth, Windows 10 Home, New 24 LCD, Rainbow Keyboard and Mouse (Renewed)",$784.23 –
ABS Master Gaming PC - Windows 10 Home - Intel i7 11700F - GeForce RTX 3060 Ti - G.Skill TridentZ 16GB DDR4 3200MHz - 1TB M.2 NVMe SSD - EVGA AIO Cooler,"$1,599.99 –"
"Skytech Shadow 3.0 Gaming PC Desktop - Intel Core i5-11400F 2.6 GHz (4.4 GHz Max Boost), RTX 3060 Ti, 16GB DDR4 3200MHz, 500GB SSD, AC WiFi, Windows 10 Home 64-bit, Black","$1,299.99 –"
iBUYPOWER Gaming Desktop Slate 5MR 241i Intel Core i5 11th Gen 11400F (2.60GHz) 1 TB HDD 480 GB SSD NVIDIA GeForce GTX 1050 Ti 4 GB GDDR5 Windows 11 Home 64-bit,$849.99 –
ABS Master Gaming PC - Windows 10 Home - Intel i7 11700F - GeForce RTX 3060 Ti - 16GB DDR4 3000MHz - 1TB M.2 NVMe SSD,"$1,399.99 –"
"Gaming HP 600 G1 SFF Desktop Intel core i5-4th gen | 8GB RAM, 128GB SSD, 1TB HDD | RGB Keyboard Mouse | 4 in 1 USB Hub | Nvidia Geforce GT 1030 4GB Graphics, WiFi, Windows 10 Pro",$474.82 –
"HP Gaming Computer, Intel Quad-Core i5, GeForce GT 1030, 240GB SSD + 1TB HDD, 16GB DDR3 RAM, DVD, WiFi, Bluetooth, Windows 10 Home, New 24 LCD, Rainbow Keyboard and Mouse (Renewed)",$738.23 –
ABS Gladiator Gaming PC - Windows 11 Home - Intel i9 12900KF - NVIDIA GeForce RTX 3080 - 32GB (2x16GB) RGB DDR5 4800MHz - 2TB M.2 NVMe SSD - Corsair 5000x Gaming Case,"$3,149.99 (2 Offers)–"
ABS Gladiator Gaming PC - Windows 11 Pro - Intel i7 11700KF - GeForce RTX 3070 - 16GB RGB DDR4 3200MHz - 1TB M.2 NVMe SSD,"$1,799.00 –"
ABS Master Gaming PC - Windows 10 Home - Intel i5 10400F - GeForce RTX 2060 - 16GB DDR4 - 512GB SSD,$949.99 –
IPASON - Gaming Desktop - AMD A8 7680 (4 Core up to 3.8GHz) - Radeon R7 - 240GB SSD - 8GB 1600MHz - Windows 10 home - Office Computer - Gaming PC,$499.99 (4 Offers)–
