name,price
"AORUS MODEL X Gaming PC Computer Desktop (Intel i9-11900K, NVIDIA GeForce RTX 3080 10GB GDDR6X, 16GB DDR4 RAM, 3TB M.2 SSD) - GB-AMXI9N8A-2051","2,999.99"
Periphio Warp Gaming PC Computer | AMD Athlon 3000G | Radeon Vega 3 iGPU (2GB) | 500GB (SSD) Solid State Storage | 16GB DDR4 RAM | Entry-Level HD 1080p Gaming,599.99
"Dell OptiPlex 7040 Desktop Mini Business PC Computer, Intel Quad Core i5, 16GB RAM, 256GB Solid State Drive, Windows 10 Professional, 16GB Flash Drive, Wireless Keyboard & Mouse, WiFi",339.99
"ViprTech.com Gaming PC Computer Desktop - Intel i5 4th Gen, NVIDIA GTX 1060 3GB, 8GB RAM, 1TB HDD, VR Ready, RGB, WiFi, Windows 10 Pro, 1 Year Warranty",749.95
"ViprTech.com Gaming PC Computer Desktop - Intel i5 4th Gen, NVIDIA GTX 1060 3GB, 16GB RAM, 2TB HDD, VR Ready, STREAMING, RGB, WiFi, Windows 10 Pro, 1 Year Warranty",799.95
"AORUS MODEL X Gaming PC Computer Desktop (AMD R9 5900X, NVIDIA GeForce RTX 3080 10GB GDDR6X, 32GB DDR4 RAM, 3TB M.2 SSD) - GB-AMXR9N8A-20A1","3,299.99"
ETopSell Gaming Computer PC Desktop - AMD Athlon 200GE (2 Core 4 Thread up to 3.2GHz)– 120GB SSD – 8GB DDR4 2666 – RGB Fans – AC WIFI – Windows 10 Home Black,
Periphio Warp Gaming PC Computer | AMD Athlon 3000G | Radeon Vega 3 iGPU (2GB) | 500GB (SSD) Solid State Drive | 16GB DDR4 RAM | HD 1080p Gaming | Windows 10 Home | RGB Gaming Bundle,618.99
"Dell OptiPlex 9020 Ultra Small Business PC Desktop Computer, Intel Quad Core i5, 16GB RAM, 1TB SSD, Windows 10 Pro, 23.6"" FHD LED Monitor, 16GB Flash Drive, Wireless Keyboard & Mouse, DVD, WiFi",517.94
"HP EliteDesk 800 G2 Desktop Mini Business PC Computer, Intel Quad Core i5, 16GB RAM, 512GB Solid State Drive, Windows 10 Professional, 16GB Flash Drive, Wireless Keyboard & Mouse, WiFi",336.94
"ViprTech.com Whiteout Gaming PC Desktop Computer - AMD Ryzen 5 5600G (12-Core @ 4.4Ghz), AMD Radeon RX Vega 7 Graphics, 16GB DDR4 RAM, 128GB M.2 SSD, 1TB HDD, WiFi, RGB, 1-Year Warranty",734.95
"ViprTech.com Flurry Gaming PC Desktop Computer - AMD Ryzen 5 (12-Core), AMD Radeon RX 560 4GB, 8GB DDR4 RAM, 1TB HDD, WiFi, RGB, Windows 10 Pro, 1 Year Warranty",689.95
Lenovo ThinkCentre M83 SFF Computer PC i5 4570 3.2Ghz 16GB DDR3 RAM 1TB SSD NVIDIA GeForce GT 1030 2GB Win 10 Pro WIFI with Gaming PC Keyboard & Mouse HAJAAN HC510 HDMI,399.99
